This list was generated with meta-movie. [https://www.github.com/akhilnareshkumar/meta-movie] 


Movie Title                              Rating    
-----------------------------------------------
The Shawshank Redemption                 8.5       
Whiplash                                 8.3       
Sunset Boulevard                         8.2       
The Green Mile                           8.2       
Fight Club                               8.2       
Seven Samurai                            8.2       
One Flew Over the Cuckoo's Nest          8.2       
The Good, the Bad and the Ugly           8.1       
Dead Poets Society                       8.1       
The Intouchables                         8.1       
Cinema Paradiso                          8.1       
Room                                     8.1       
Interstellar                             8.1       
The Lord of the Rings: The Return o      8.1       
Ikiru                                    8         
The Grand Budapest Hotel                 8         
The Lord of the Rings: The Two Towe      8         
Star Wars                                8         
The Lord of the Rings: The Fellowsh      8         
Yojimbo                                  8         
The Shining                              8         
The Pianist                              8         
Prisoners                                7.9       
The Departed                             7.9       
Gone Girl                                7.9       
The Wolf of Wall Street                  7.9       
Incendies                                7.9       
Dallas Buyers Club                       7.9       
Full Metal Jacket                        7.9       
To Kill a Mockingbird                    7.9       
Saving Private Ryan                      7.9       
There Will Be Blood                      7.9       
Scarface                                 7.9       
North by Northwest                       7.8       
The Secret in Their Eyes                 7.8       
The Help                                 7.8       
Trainspotting                            7.8       
The Theory of Everything                 7.8       
Dial M for Murder                        7.8       
Throne of Blood                          7.8       
Into the Wild                            7.8       
Her                                      7.8       
Spotlight                                7.8       
The Thing                                7.8       
Singin' in the Rain                      7.8       
The Truman Show                          7.8       
Donnie Darko                             7.7       
Toy Story                                7.7       
The Perks of Being a Wallflower          7.7       
Raiders of the Lost Ark                  7.7       
Mary and Max                             7.7       
Going Clear: Scientology and the Pr      7.7       
Heat                                     7.7       
The Deer Hunter                          7.7       
Three Colors: Blue                       7.7       
Rush                                     7.7       
Unforgiven                               7.7       
Heat                                     7.7       
The Man from Earth                       7.7       
Mystic River                             7.6       
Kingsman: The Secret Service             7.6       
Snatch                                   7.6       
Spring, Summer, Fall, Winter... and      7.6       
In the Name of the Father                7.6       
Moonrise Kingdom                         7.6       
Nightcrawler                             7.6       
The Notebook                             7.6       
The Untouchables                         7.6       
Straight Outta Compton                   7.6       
Pan's Labyrinth                          7.6       
Toy Story 3                              7.6       
Ernest & Celestine                       7.6       
Life of Brian                            7.6       
The Conversation                         7.5       
Moon                                     7.5       
The King's Speech                        7.5       
Zindagi Na Milegi Dobara                 7.5       
Strangers on a Train                     7.5       
The Graduate                             7.5       
Little Miss Sunshine                     7.5       
Ip Man                                   7.5       
Fantastic Mr. Fox                        7.5       
Elite Squad: The Enemy Within            7.5       
The King of Comedy                       7.5       
Rushmore                                 7.5       
The Dark Knight Rises                    7.5       
Logan                                    7.5       
Platoon                                  7.5       
Philadelphia                             7.5       
